ticker,name,date_added,date_removed,is_current
BIG,,1998-01-20,2013-02-14,False
BIIB,Biogen,2003-11-13,,True
BIO,,2020-06-22,2024-09-23,False
BJS,,2002-05-15,2010-04-29,False
BK,,1996-01-02,2026-05-21,False
BKB,,1996-01-02,1999-10-01,False
BKNG,Booking Holdings,2009-11-06,,True
BKR,Baker Hughes,2019-10-18,,True
BLDR,Builders FirstSource,2023-12-18,,True
BLK,BlackRock,2011-04-04,,True
BLL,,1996-01-02,2022-05-10,False
BLS,,1996-01-02,2007-01-03,False
BLY,,1996-01-02,1996-12-19,False
BMC,,1998-10-01,2013-09-11,False
BMET,,1996-01-02,2007-07-12,False
BMGCA,,1996-07-22,1999-08-09,False
BMS,,1996-01-02,2014-12-05,False
BMY,Bristol Myers Squibb,1957-03-04,,True
BNI,,1996-01-02,2010-02-16,False
BNL,,1996-01-02,1998-07-01,False
BNY,BNY Mellon,2026-05-21,,True
BOAT,,1996-01-02,1997-01-07,False
BOL,,1996-01-02,2007-10-29,False
BR,Broadridge Financial Solutions,1996-01-02,2006-04-03,False
BR,Broadridge Financial Solutions,2018-06-18,,True
BRCM,,2000-07-03,2016-02-01,False
BRK-B,Berkshire Hathaway,2010-02-16,,True
BRL,,2006-02-27,2008-12-23,False
BRO,Brown & Brown,2021-09-20,,True
BSC,,1998-07-01,2008-06-02,False
BSX,Boston Scientific,1995-02-24,,True
BT,,1996-01-02,1999-06-04,False
BTUUQ,,2006-11-20,2014-09-22,False
BUD,,1996-01-02,2008-11-18,False
BVSN,,2000-11-06,2001-09-04,False
BWA,,2011-12-19,2025-03-24,False
BX,Blackstone Inc.,2023-09-18,,True
BXLT,,2015-07-01,2016-06-03,False
BXP,"BXP, Inc.",2006-04-03,,True
C,Citigroup,1988-05-31,,True
CA,,1996-01-02,2018-11-06,False
CAG,,1996-01-02,2026-06-30,False
CAH,Cardinal Health,1997-05-27,,True
CAL,,1996-01-02,1996-07-22,False
CAM,,2008-01-29,2016-04-04,False
CAR,,1996-01-02,2006-08-01,False
CARR,Carrier Global,2020-04-03,,True
CASY,Casey's,2026-04-09,,True
CAT,Caterpillar Inc.,1957-03-04,,True
CB,Chubb Limited,2010-07-15,,True
CBB,,1996-01-02,1998-01-28,False
CBE,,1996-01-02,2009-09-09,False
CBE,,2011-11-23,2012-12-03,False
CBH,,2006-06-06,2008-03-31,False
CBOE,Cboe Global Markets,2017-03-01,,True
CBRE,CBRE Group,2006-11-10,,True
CBS,,1996-01-02,2019-12-05,False
CBSS,,2004-12-20,2007-09-07,False
CCB,,1996-01-02,1996-02-12,False
CCE,,1998-10-08,2016-05-31,False
CCEP,,2016-01-04,2016-05-31,False
CCI,Crown Castle,1996-01-02,1998-10-08,False
CCI,Crown Castle,2012-03-14,,True
CCK,,1996-01-02,2000-12-11,False
CCL,Carnival Corporation,1998-12-22,,True
CCTYQ,,1996-01-02,2008-03-31,False
CCU,,1997-09-02,2008-07-31,False
CDAY,,2021-09-20,2024-02-01,False
CDNS,Cadence Design Systems,2017-09-18,,True
CDW,CDW Corporation,2019-09-23,,True
CE,,2001-04-02,2004-02-27,False
CE,,2018-12-24,2025-03-24,False
CEG,Constellation Energy,1996-01-02,2012-03-13,False
CEG,Constellation Energy,2022-02-02,,True
CELG,,2006-11-06,2019-11-21,False
CEN,,1996-01-02,2001-04-02,False
CEPH,,2008-11-17,2011-10-14,False
CERN,,2010-04-30,2022-06-08,False
CF,CF Industries,2000-06-19,2004-09-01,False
CF,CF Industries,2008-08-27,,True
CFC,,1997-06-18,2008-07-01,False
CFG,Citizens Financial Group,2016-02-01,,True
CFL,,1996-01-02,1998-04-28,False
CFN,,2009-09-01,2015-03-17,False
CG,,1996-01-02,2000-11-02,False
CGP,,1996-01-02,2001-01-30,False
CHA,,1996-01-02,2000-06-19,False
CHD,Church & Dwight,2015-12-29,,True
CHIR,,2000-11-24,2006-04-20,False
CHK,,2006-03-03,2018-03-19,False
CHRS,,1996-01-02,1998-04-08,False
CHRW,C.H. Robinson,2007-03-02,,True
CHTR,Charter Communications,2016-09-08,,True
CI,Cigna,1976-06-30,,True
CIEN,Ciena,2001-08-30,2009-12-21,False
CIEN,Ciena,2026-02-09,,True
CIN,,1996-01-02,2006-04-03,False
CINF,Cincinnati Financial,1997-12-18,,True
CIT-A,,2000-07-17,2001-06-04,False
CITGQ,,2004-10-27,2009-07-27,False
CL,Colgate-Palmolive,1957-03-04,,True
CLF,,2009-12-21,2014-04-02,False
CLX,Clorox,1969-03-31,,True
CMA,,1996-01-02,2024-06-24,False
CMB,,1996-01-02,1996-04-01,False
CMCSA,Comcast,2002-11-19,,True
CMCSK,,2015-09-21,2015-12-14,False
CME,CME Group,2006-08-11,,True
CMG,Chipotle Mexican Grill,2011-04-28,,True
CMI,Cummins,1965-03-31,,True
CMS,CMS Energy,1999-05-03,,True
CMVT,,1999-10-27,2007-02-01,False
CMX,,2004-03-25,2007-03-23,False
CNC,Centene Corporation,1997-01-15,2002-07-25,False
CNC,Centene Corporation,2016-03-30,,True
CNG,,1996-01-02,2000-01-31,False
CNP,CenterPoint Energy,1985-07-31,,True
CNW,,1996-01-02,1996-12-03,False
CNX,,2006-06-28,2016-03-04,False
CNXT,,2000-01-31,2002-06-26,False
COC-B,,1999-08-09,2002-09-03,False
COF,Capital One,1998-07-01,,True
COG,,2008-06-23,2021-10-04,False
COHR,Coherent Corp.,2026-03-23,,True
COIN,Coinbase,2025-05-19,,True
COL,,2001-07-02,2018-11-27,False
COMS,,1996-01-02,2000-07-28,False
COO,Cooper Companies (The),2016-09-23,,True
COP,ConocoPhillips,1957-03-04,,True
COR,Cencora,2023-08-30,,True
COST,Costco,1993-10-01,,True
COTY,,2016-10-03,2020-09-21,False
COV,,1996-01-02,1996-08-16,False
COV,,2007-07-02,2009-06-05,False
COV,,2011-03-01,2015-01-27,False
CPAY,Corpay,2024-03-25,,True
CPB,,1996-01-02,2026-06-22,False
CPGX,,2015-07-02,2016-07-01,False
CPNLQ,,2000-12-01,2005-12-02,False
CPQ,,1996-01-02,2002-05-06,False
CPRI,,2016-01-04,2020-05-12,False
CPRT,Copart,2018-07-02,,True
CPT,Camden Property Trust,2022-04-04,,True
CPWR,,1999-01-04,2012-01-03,False
CR,,1996-01-02,2004-12-20,False
CRH,CRH plc,2025-12-22,,True
CRL,Charles River Laboratories,2021-05-14,,True
CRM,Salesforce,2008-09-15,,True
CRR,,1996-01-02,1997-05-27,False
CRWD,CrowdStrike,2024-06-24,,True
CSCO,Cisco,1993-12-01,,True
CSE,,1996-01-22,1999-11-15,False
CSGP,CoStar Group,2022-09-19,,True
CSR,,1996-01-02,2000-06-16,False
CSRA,,2015-11-30,2018-04-04,False
CSX,CSX Corporation,1957-03-04,,True
CTAS,Cintas,2001-03-01,,True
CTB,,1996-01-02,2006-07-18,False
CTL,,1999-03-25,2020-09-18,False
CTLT,,2020-09-21,2024-12-23,False
CTRA,,2021-10-04,2026-05-07,False
CTSH,Cognizant,2006-11-17,,True
CTVA,Corteva,2019-06-03,,True
CTX,,1996-01-02,2009-08-19,False
CTXS,,1999-12-01,2022-10-03,False
CVC,,2010-12-20,2016-06-21,False
CVG,,2000-06-13,2009-12-21,False
CVH,,2005-08-30,2013-05-07,False
CVNA,Carvana,2025-12-22,,True
CVS,CVS Health,1957-03-04,,True
CVX,Chevron Corporation,1957-03-04,,True
CXO,,2016-02-22,2021-01-21,False
CYM,,1996-01-02,1999-10-18,False
CYR,,1996-01-02,1996-03-28,False
CZR,,2021-03-22,2025-09-22,False
D,Dominion Energy,2016-11-30,,True
DAL,Delta Air Lines,2013-09-11,,True
DALRQ,,1996-01-02,2005-08-19,False
DASH,DoorDash,2025-03-24,,True
DAY,,2024-02-01,2026-02-09,False
DCNAQ,,1996-01-02,2006-03-03,False
DD,DuPont,1996-01-02,2017-09-01,False
DD,DuPont,2019-06-03,,True
DDOG,Datadog,2025-07-09,,True
DDR,,2007-03-23,2009-03-30,False
DDS,,1996-01-02,2008-10-22,False
DE,Deere & Company,1957-03-04,,True
DEC,,1996-01-02,1998-06-12,False
DECK,Deckers Brands,2024-03-18,,True
DELL,Dell Technologies,1996-09-06,2013-10-29,False
DELL,Dell Technologies,2024-09-23,,True
DF,,2006-04-03,2013-05-24,False
DFS,,2007-07-02,2025-05-19,False
DG,Dollar General,1998-07-16,2007-07-09,False
DG,Dollar General,2012-12-03,,True
DGN,,1996-01-02,1999-10-13,False
DGX,Quest Diagnostics,2002-12-12,,True
DHI,D. R. Horton,2005-07-05,,True
DHR,Danaher Corporation,1998-11-18,,True
DI,,1996-01-02,1998-09-30,False
DIGI,,1996-01-02,1998-08-28,False
DIS,Walt Disney Company (The),1976-06-30,,True
DISCA,,2010-03-01,2022-04-11,False
DISCK,,2014-08-07,2022-04-11,False
DISH,,2017-03-13,2023-06-20,False
DJ,,1996-01-02,2007-12-14,False
DLR,Digital Realty,2016-05-18,,True
DLTR,Dollar Tree,2011-12-19,,True
DLX,,1996-01-02,2004-12-20,False
DNB,,2008-12-02,2017-04-05,False
DNR,,2009-04-02,2015-03-23,False
DO,,2009-02-26,2016-10-03,False
DOC,Healthpeak Properties,2024-03-04,,True
DOV,Dover Corporation,1985-10-31,,True
DOW,Dow Inc.,1996-01-02,2017-09-01,False
DOW,Dow Inc.,2019-04-02,,True
DPHIQ,,1999-05-28,2005-10-11,False
DPZ,Domino's,2020-05-12,,True
DRE,,2017-07-26,2022-10-03,False
DRI,Darden Restaurants,1995-05-31,,True
DTE,DTE Energy,1957-03-04,,True
DTV,,2006-12-04,2015-07-27,False
DUK,Duke Energy,1976-06-30,,True
DVA,DaVita,2008-07-31,,True
DVN,Devon Energy,2000-08-30,,True
DWD,,1996-01-02,1997-06-02,False
DWDP,,2017-09-01,2019-06-03,False
DXC,,1996-01-02,2015-12-01,False
DXC,,2017-04-04,2023-10-02,False
DXCM,Dexcom,2020-05-12,,True
DYN,,2000-10-03,2009-12-21,False
EA,Electronic Arts,2002-07-22,,True
EBAY,eBay Inc.,2002-07-22,,True
EC,,1996-01-02,2006-06-06,False
ECH,,1996-01-02,1998-07-10,False
ECHO,EchoStar,2026-06-24,,True
ECL,Ecolab,1989-01-31,,True
ECO,,1996-01-02,1998-01-20,False
ED,Consolidated Edison,1957-03-04,,True
EDS,,1998-08-11,2008-08-26,False
EFU,,1996-01-02,2000-11-02,False
EFX,Equifax,1997-06-19,,True
EG,Everest Group,2023-07-10,,True
EHC,,1997-01-08,2003-03-21,False
EIX,Edison International,1957-03-04,,True
EKDKQ,,1996-01-02,2010-12-20,False
EL,Estée Lauder Companies (The),2006-01-05,,True
ELV,Elevance Health,2022-06-28,,True
EMC,,1996-03-28,2016-09-07,False
EME,Emcor,2025-09-22,,True
EMN,,1996-01-02,2025-11-04,False
EMR,Emerson Electric,1965-03-31,,True
ENDP,,2015-01-27,2017-03-02,False
ENPH,,2021-01-07,2025-09-22,False
ENRNQ,,1996-01-02,2001-11-30,False
ENS,,1996-01-02,1997-08-06,False
EOG,EOG Resources,2000-11-02,,True
EOP,,2001-10-10,2007-02-12,False
EP,,1999-10-26,2012-05-25,False
EPAM,,2021-12-14,2026-06-02,False
EQ,,2006-05-18,2009-07-01,False
EQIX,Equinix,2015-03-23,,True
EQR,Equity Residential,2001-12-03,,True
EQT,EQT Corporation,2008-12-19,2018-11-13,False
EQT,EQT Corporation,2022-10-03,,True
ERIE,Erie Indemnity,2024-09-23,,True
ES,Eversource Energy,2009-07-24,,True
ESRX,,2003-09-26,2018-12-21,False
ESS,Essex Property Trust,2014-04-02,,True
ESV,,2007-01-04,2009-12-23,False
ESV,,2012-07-31,2016-03-30,False
ETFC,,2004-04-01,2020-10-07,False
ETN,Eaton Corporation,1957-03-04,,True
ETR,Entergy,1957-03-04,,True
ETS,,1996-01-02,2001-08-06,False
ETSY,,2020-09-21,2024-09-23,False
EVHC,,2016-12-02,2018-10-11,False
EVRG,Evergy,2018-06-05,,True
EW,Edwards Lifesciences,2011-04-01,,True
EXC,Exelon,1957-03-04,,True
EXE,Expand Energy,2025-03-24,,True
EXPD,Expeditors International,2007-10-10,,True
EXPE,Expedia Group,2007-10-02,,True
EXR,Extra Space Storage,2016-01-19,,True
F,Ford Motor Company,1957-03-04,,True
FANG,Diamondback Energy,2018-12-03,,True
FAST,Fastenal,2008-09-15,,True
FB,,2013-12-23,2022-06-09,False
FBF,,1996-01-02,2004-04-01,False
FBHS,,2016-06-24,2022-12-19,False
FBO,,1996-01-02,1996-03-13,False
FCN,,1996-01-02,1998-10-02,False
FCPT,,2015-11-10,2015-11-17,False
FCX,Freeport-McMoRan,2011-07-01,,True
FDC,,1996-01-02,2007-09-25,False
FDO,,2001-08-06,2015-07-07,False
FDS,FactSet,2021-12-20,,True
FDX,FedEx,1980-12-31,,True
FDXF,FedEx Freight,2026-06-01,,True
FE,FirstEnergy,1997-11-28,,True
FFIV,"F5, Inc.",2010-12-20,,True
FG,,1996-01-02,1998-04-27,False
FHN,,2002-05-06,2013-06-24,False
FI,,2023-06-07,2025-11-11,False
FICO,Fair Isaac,2023-03-20,,True
FII,,2003-04-16,2013-01-02,False
FIS,Fidelity National Information Services,2006-11-10,,True
FISV,Fiserv,2001-04-02,2023-06-07,False
FISV,Fiserv,2025-11-11,,True
FITB,Fifth Third Bancorp,1996-03-29,,True
FIX,Comfort Systems USA,2025-12-22,,True
FJ,,1996-01-02,2000-11-24,False
FL,,1996-01-02,1999-01-04,False
FL,,2016-04-04,2019-08-09,False
FLEX,Flex Ltd.,2026-06-22,,True
FLIR,,2009-01-02,2021-05-14,False
FLMIQ,,1996-01-02,1997-12-24,False
FLR,,2000-12-22,2019-06-03,False
FLS,,2008-10-02,2021-03-22,False
FLT,,2018-06-20,2024-03-25,False
FLTWQ,,1996-01-02,2000-01-31,False
FMC,,1996-01-02,2002-01-02,False
FMC,,2009-08-19,2025-03-24,False
FMCC,,1996-01-02,2008-09-11,False
FMY,,1998-07-10,1999-05-28,False
FNMA,,1996-01-02,2008-09-11,False
FOSL,,2012-04-04,2016-01-05,False
FOX,Fox Corporation (Class B),2019-03-19,,True
FOXA,Fox Corporation (Class A),2019-03-19,,True
FPC,,1999-06-22,2000-12-01,False
FRC,,2019-01-02,2023-05-04,False
FRO,,1997-01-02,1999-09-29,False
FRT,Federal Realty Investment Trust,2016-02-01,,True
FRX,,2000-11-22,2014-07-01,False
FSH,,2004-08-03,2006-11-10,False
FSL,,2004-12-03,2006-12-04,False
FSLR,First Solar,2009-10-16,2017-03-20,False
FSLR,First Solar,2022-12-19,,True
FTI,,2009-06-05,2021-02-12,False
FTL-A,,1996-01-02,1999-10-01,False
FTNT,Fortinet,2018-10-11,,True
FTR,,2001-02-27,2017-03-20,False
FTV,Fortive,2016-07-05,,True
FWLT,,1996-01-02,2000-01-31,False
G,,1996-01-02,2005-10-03,False
GAPTQ,,1996-01-02,2000-08-30,False
GAS,,1996-01-02,2011-12-12,False
GAS,,2011-12-13,2016-07-01,False
GD,General Dynamics,1957-03-04,,True
GDDY,GoDaddy,2024-06-24,,True
GDT,,1996-12-19,2006-04-24,False
GDW,,1996-01-02,2006-10-02,False
GE,GE Aerospace,1957-03-04,,True
GEHC,GE HealthCare,2023-01-04,,True
GEN,Gen Digital,2022-11-08,,True
GENZ,,2001-12-14,2011-04-04,False
GEV,GE Vernova,2024-04-02,,True
GFS-A,,1996-01-02,1998-07-16,False
GGP,,2007-07-02,2008-11-13,False
GGP,,2013-12-10,2018-08-28,False
GHC,,2007-12-31,2014-09-22,False
GIDL,,1996-01-02,1997-07-17,False
GILD,Gilead Sciences,2004-07-01,,True
GIS,General Mills,1957-03-04,,True
GL,Globe Life,2019-08-08,,True
GLD,,1996-01-02,1997-05-06,False
GLK,,1996-01-02,2005-07-05,False
GLW,Corning Inc.,1995-02-27,,True
GM,General Motors,2013-06-07,,True
GMCR,,2014-03-24,2016-03-03,False
GME,,2007-12-14,2016-04-25,False
GNRC,Generac,2021-03-22,,True
GNT,,1996-03-13,1998-07-01,False
GNW,,2005-12-02,2015-11-18,False
GOOG,Alphabet Inc. (Class C),2014-04-03,,True
GOOGL,Alphabet Inc. (Class A),2006-04-03,,True
GP,,1996-01-02,2005-12-20,False
GPC,Genuine Parts Company,1973-12-31,,True
GPN,Global Payments,2016-04-25,,True
GPS,,1996-01-02,2022-02-02,False
GPU,,1996-01-02,2001-11-07,False
GR,,1996-01-02,2012-07-27,False
GRA,,1996-01-02,2000-12-11,False
GRMN,Garmin,2012-12-12,,True
GRN,,1996-01-02,1998-12-22,False
GS,Goldman Sachs,2002-07-22,,True
GSX,,1996-01-02,1998-10-07,False
GT,,1996-01-02,2019-02-27,False
GTE,,1996-01-02,2000-07-03,False
GTW,,1998-04-27,2006-08-01,False
GWF,,1996-01-02,1997-07-02,False
GWW,W. W. Grainger,1981-06-30,,True
GX,,1999-09-29,2001-10-10,False
H,,1996-01-02,2001-06-29,False
H,,2006-08-01,2007-04-10,False
HAL,Halliburton,1957-03-04,,True
HAR,,2006-02-01,2017-03-13,False
HAS,Hasbro,1984-09-30,,True
HBAN,Huntington Bancshares,1997-08-28,,True
HBI,,2015-03-23,2021-12-20,False
HBOC,,1997-10-23,1999-01-13,False
HCA,HCA Healthcare,1996-01-02,2006-11-20,False
HCA,HCA Healthcare,2015-01-27,,True
HCBK,,2007-02-15,2015-11-02,False
HCP,,2008-03-31,2019-11-05,False
HCR,,1998-09-28,2007-11-09,False
HD,Home Depot (The),1988-03-31,,True
HDLM,,1996-01-02,1996-03-08,False
HES,,1996-01-02,2025-07-23,False
HET,,1996-01-02,2008-01-29,False
HFC,,2018-06-18,2021-06-04,False
HFS,,1996-08-16,1997-12-18,False
HI,,1996-01-02,2003-03-31,False
HIG,Hartford (The),1957-03-04,,True
HII,Huntington Ingalls Industries,2018-01-03,,True
HLT,Hilton Worldwide,1996-01-02,2007-10-25,False
HLT,Hilton Worldwide,2017-06-19,,True
HM,,1996-01-02,2001-12-17,False
HMA,,2001-11-07,2007-03-02,False
HNZ,,1996-01-02,2013-06-07,False
HOG,,2000-01-31,2020-06-22,False
HOLX,,2016-03-30,2026-04-09,False
HON,Honeywell Technologies,1957-03-04,,True
HONA,Honeywell Aerospace,2026-06-29,,True
HOOD,Robinhood Markets,2025-09-22,,True
HOT,,2000-11-17,2016-09-23,False
HP,,1996-01-02,1999-12-31,False
HP,,2010-03-01,2020-05-22,False
HPC,,1996-01-02,2008-11-14,False
HPE,Hewlett Packard Enterprise,2015-11-02,,True
HPH,,1996-01-02,1999-06-09,False
HPQ,HP Inc.,1974-12-31,,True
HRB,,1996-01-02,2020-09-21,False
HRL,Hormel Foods,2009-03-04,,True
HRS,,1996-01-02,1999-11-08,False
HRS,,2008-09-22,2019-06-01,False
HSH,,1996-01-02,2012-06-29,False
HSIC,Henry Schein,2015-03-18,,True
HSP,,2004-05-03,2015-09-03,False
HST,Host Hotels & Resorts,2007-03-20,,True
HSY,Hershey Company (The),1957-03-04,,True
HUBB,Hubbell Incorporated,2023-10-18,,True
HUM,Humana,2012-12-10,,True
HWM,Howmet Aerospace,2020-04-06,,True
I,,1996-01-02,1996-04-01,False
IAC,,2006-12-01,2008-08-21,False
IBKR,Interactive Brokers,2025-08-28,,True
IBM,IBM,1957-03-04,,True
ICE,Intercontinental Exchange,2007-09-26,,True
IDXX,Idexx Laboratories,2017-01-05,,True
IEX,IDEX Corporation,2019-08-09,,True
IFF,International Flavors & Fragrances,1976-03-31,,True
IGT,,2001-09-04,2014-06-20,False
IKN,,1996-01-02,2000-06-29,False
ILMN,,2015-11-19,2024-06-24,False
IMNX,,2001-09-21,2002-07-16,False
INCLF,,1996-01-02,2002-07-22,False
INCY,Incyte,2017-02-28,,True
INFO,,2017-06-02,2022-03-02,False
INGR,,1996-01-02,1997-07-28,False
INTC,Intel,1976-12-31,,True
INTU,Intuit,2000-12-11,,True
INVH,Invitation Homes,2022-09-19,,True
IP,International Paper,1957-03-04,,True
IPG,,1996-01-02,2025-11-28,False
IPGP,,2018-03-07,2022-06-21,False
IQV,IQVIA,2017-08-29,,True
IR,Ingersoll Rand,1996-01-02,2009-07-01,False
IR,Ingersoll Rand,2020-03-03,,True
IRM,Iron Mountain,2009-01-06,,True
ISRG,Intuitive Surgical,2008-06-02,,True
IT,Gartner,2017-04-05,,True
ITT,,1996-01-02,2011-11-01,False
ITW,Illinois Tool Works,1986-02-28,,True
IVZ,Invesco,2008-08-21,,True
J,Jacobs Solutions,2019-12-10,,True
JAVA,,1996-01-02,2010-01-27,False
JBHT,J.B. Hunt,2015-07-01,,True
JBL,Jabil,2001-01-30,2014-11-05,False
JBL,Jabil,2023-12-18,,True
JCI,Johnson Controls,2010-08-27,,True
JCP,,1996-01-02,2013-12-02,False
JEC,,2007-10-26,2019-12-10,False
JEF,,2007-08-27,2019-09-26,False
JH,,1996-01-02,1998-04-01,False
JHF,,2001-06-29,2004-04-29,False
JKHY,Jack Henry & Associates,2018-11-13,,True
JNJ,Johnson & Johnson,1973-06-30,,True
JNPR,,2006-06-02,2025-07-09,False
JNS,,2000-07-13,2011-11-23,False
JNY,,2001-12-17,2009-03-04,False
JOS,,1996-01-02,2000-05-10,False
JOY,,2011-02-28,2015-10-08,False
JP,,1996-01-02,2006-04-03,False
JPM,JPMorgan Chase,1975-06-30,,True
JWN,,1996-01-02,2020-06-22,False
K,,1996-01-02,2025-12-11,False
